Densité de Bisounours,Fréquence d'apparition de la couleur jaune,Violence exprimée
2.72,1.4543243179,1.5405006493
2.73,1.4544781414,1.5406469808
2.74,1.4546320137,1.5407933606
2.75,1.4547859349,1.5409397887
2.76,1.4549399049,1.5410862651
2.77,1.4550939239,1.5412327898
2.78,1.4552479918,1.5413793628
2.79,1.4554021086,1.5415259843
2.8,1.4555562743,1.5416726541
2.81,1.4557104891,1.5418193724
2.82,1.455864753,1.5419661392
2.83,1.4560190658,1.5421129545
2.84,1.4561734278,1.5422598182
2.85,1.4563278388,1.5424067306
2.86,1.456482299,1.5425536914
2.87,1.4566368083,1.5427007009
2.88,1.4567913669,1.542847759
2.89,1.4569459746,1.5429948658
2.9,1.4571006316,1.5431420212
2.91,1.4572553378,1.5432892253
2.92,1.4574100933,1.5434364781
2.93,1.4575648982,1.5435837797
2.94,1.4577197523,1.5437311301
2.95,1.4578746559,1.5438785293
2.96,1.4580296088,1.5440259773
2.97,1.4581846112,1.5441734741
2.98,1.4583396629,1.5443210199
2.99,1.4584947642,1.5444686145
3,1.458649915,1.5446162581
3.01,1.4588051153,1.5447639507
3.02,1.4589603651,1.5449116922
3.03,1.4591156645,1.5450594828
3.04,1.4592710135,1.5452073224
3.05,1.4594264122,1.545355211
3.06,1.4595818605,1.5455031488
3.07,1.4597373585,1.5456511357
3.08,1.4598929062,1.5457991717
3.09,1.4600485036,1.5459472569
3.1,1.4602041508,1.5460953913
3.11,1.4603598478,1.5462435749
3.12,1.4605155946,1.5463918078
3.13,1.4606713912,1.5465400899
3.14,1.4608272377,1.5466884214
3.15,1.4609831341,1.5468368022
3.16,1.4611390805,1.5469852323
3.17,1.4612950767,1.5471337119
3.18,1.461451123,1.5472822408
3.19,1.4616072192,1.5474308192
3.2,1.4617633655,1.5475794471
3.21,1.4619195618,1.5477281244
3.22,1.4620758083,1.5478768513
3.23,1.4622321048,1.5480256277
3.24,1.4623884514,1.5481744537
3.25,1.4625448483,1.5483233293
3.26,1.4627012953,1.5484722545
3.27,1.4628577925,1.5486212294
3.28,1.46301434,1.548770254
3.29,1.4631709377,1.5489193282
3.3,1.4633275857,1.5490684522
3.31,1.4634842841,1.549217626
3.32,1.4636410328,1.5493668495
3.33,1.4637978319,1.5495161229
3.34,1.4639546813,1.5496654461
3.35,1.4641115813,1.5498148192
3.36,1.4642685316,1.5499642422
3.37,1.4644255325,1.5501137151
3.38,1.4645825839,1.5502632379
3.39,1.4647396858,1.5504128107
3.4,1.4648968383,1.5505624336
3.41,1.4650540413,1.5507121064
3.42,1.465211295,1.5508618294
3.43,1.4653685994,1.5510116024
3.44,1.4655259544,1.5511614255
3.45,1.4656833601,1.5513112988
3.46,1.4658408166,1.5514612222
3.47,1.4659983238,1.5516111959
3.48,1.4661558818,1.5517612197
3.49,1.4663134906,1.5519112938
3.5,1.4664711502,1.5520614182
3.51,1.4666288607,1.5522115929
3.52,1.4667866221,1.5523618179
3.53,1.4669444344,1.5525120933
3.54,1.4671022977,1.5526624191
3.55,1.467260212,1.5528127953
3.56,1.4674181772,1.5529632219
3.57,1.4675761935,1.553113699
3.58,1.4677342608,1.5532642266
3.59,1.4678923793,1.5534148048
3.6,1.4680505488,1.5535654335
3.61,1.4682087695,1.5537161127
3.62,1.4683670413,1.5538668426
3.63,1.4685253644,1.5540176231
3.64,1.4686837386,1.5541684543
3.65,1.4688421641,1.5543193361
3.66,1.4690006409,1.5544702687
3.67,1.469159169,1.554621252
3.68,1.4693177485,1.5547722861
3.69,1.4694763793,1.554923371
3.7,1.4696350614,1.5550745068
3.71,1.469793795,1.5552256934
3.72,1.4699525801,1.5553769308
3.73,1.4701114166,1.5555282192
3.74,1.4702703046,1.5556795585
3.75,1.4704292442,1.5558309488
3.76,1.4705882353,1.5559823901
3.77,1.470747278,1.5561338825
3.78,1.4709063723,1.5562854258
3.79,1.4710655182,1.5564370203
3.8,1.4712247158,1.5565886659
3.81,1.4713839651,1.5567403626
3.82,1.4715432662,1.5568921104
3.83,1.471702619,1.5570439095
3.84,1.4718620235,1.5571957598
3.85,1.4720214799,1.5573476613
3.86,1.4721809881,1.5574996141
3.87,1.4723405482,1.5576516182
3.88,1.4725001601,1.5578036736
3.89,1.472659824,1.5579557804
3.9,1.4728195398,1.5581079386
3.91,1.4729793077,1.5582601482
3.92,1.4731391275,1.5584124093
3.93,1.4732989993,1.5585647218
3.94,1.4734589232,1.5587170859
3.95,1.4736188992,1.5588695014
3.96,1.4737789273,1.5590219686
3.97,1.4739390076,1.5591744873
3.98,1.47409914,1.5593270576
3.99,1.4742593247,1.5594796796
4,1.4744195615,1.5596323532
4.01,1.4745798507,1.5597850786
4.02,1.4747401921,1.5599378557
4.03,1.4749005858,1.5600906845
4.04,1.4750610319,1.5602435651
4.05,1.4752215304,1.5603964976
4.06,1.4753820812,1.5605494819
4.07,1.4755426845,1.560702518
4.08,1.4757033403,1.5608556061
4.09,1.4758640485,1.5610087461
4.1,1.4760248092,1.561161938
4.11,1.4761856225,1.5613151819
4.12,1.4763464884,1.5614684779
4.13,1.4765074069,1.5616218259
4.14,1.476668378,1.561775226
4.15,1.4768294017,1.5619286781
4.16,1.4769904782,1.5620821824
4.17,1.4771516073,1.5622357389
4.18,1.4773127892,1.5623893475
4.19,1.4774740239,1.5625430084
4.2,1.4776353114,1.5626967215
4.21,1.4777966517,1.5628504869
4.22,1.4779580449,1.5630043046
4.23,1.478119491,1.5631581746
4.24,1.47828099,1.563312097
4.25,1.4784425419,1.5634660718
4.26,1.4786041468,1.563620099
4.27,1.4787658047,1.5637741786
4.28,1.4789275157,1.5639283107
4.29,1.4790892797,1.5640824954
4.3,1.4792510968,1.5642367325
4.31,1.479412967,1.5643910222
4.32,1.4795748904,1.5645453646
4.33,1.479736867,1.5646997595
4.34,1.4798988968,1.5648542071
4.35,1.4800609798,1.5650087074
4.36,1.480223116,1.5651632604
4.37,1.4803853056,1.5653178661
4.38,1.4805475485,1.5654725246
4.39,1.4807098448,1.5656272359
4.4,1.4808721944,1.5657820001
4.41,1.4810345974,1.565936817
4.42,1.4811970539,1.5660916869
4.43,1.4813595639,1.5662466097
4.44,1.4815221274,1.5664015854
4.45,1.4816847444,1.5665566141
4.46,1.4818474149,1.5667116959
4.47,1.4820101391,1.5668668306
4.48,1.4821729168,1.5670220184
4.49,1.4823357482,1.5671772593
4.5,1.4824986333,1.5673325533
4.51,1.4826615721,1.5674879005
4.52,1.4828245647,1.5676433009
4.53,1.482987611,1.5677987544
4.54,1.483150711,1.5679542612
4.55,1.483313865,1.5681098213
4.56,1.4834770727,1.5682654347
4.57,1.4836403344,1.5684211014
4.58,1.48380365,1.5685768215
4.59,1.4839670195,1.5687325949
4.6,1.484130443,1.5688884218
4.61,1.4842939205,1.5690443022
4.62,1.484457452,1.569200236
4.63,1.4846210376,1.5693562233
4.64,1.4847846773,1.5695122641
4.65,1.4849483711,1.5696683585
4.66,1.4851121191,1.5698245066
4.67,1.4852759212,1.5699807082
4.68,1.4854397776,1.5701369635
4.69,1.4856036882,1.5702932725
4.7,1.485767653,1.5704496352
4.71,1.4859316722,1.5706060517
4.72,1.4860957457,1.5707625219
4.73,1.4862598736,1.5709190459
4.74,1.4864240558,1.5710756238
4.75,1.4865882925,1.5712322556
4.76,1.4867525836,1.5713889412
4.77,1.4869169292,1.5715456808
4.78,1.4870813294,1.5717024743
4.79,1.487245784,1.5718593219
4.8,1.4874102933,1.5720162234
4.81,1.4875748571,1.572173179
4.82,1.4877394756,1.5723301887
4.83,1.4879041487,1.5724872525
4.84,1.4880688766,1.5726443704
4.85,1.4882336591,1.5728015425
4.86,1.4883984964,1.5729587688
4.87,1.4885633885,1.5731160493
4.88,1.4887283354,1.5732733841
4.89,1.4888933372,1.5734307732
4.9,1.4890583938,1.5735882166
4.91,1.4892235054,1.5737457143
4.92,1.4893886718,1.5739032665
4.93,1.4895538933,1.574060873
4.94,1.4897191697,1.574218534
4.95,1.4898845012,1.5743762495
4.96,1.4900498877,1.5745340195
4.97,1.4902153293,1.574691844
4.98,1.4903808261,1.5748497231
4.99,1.4905463779,1.5750076568
5,1.490711985,1.5751656451
5.01,1.4908776473,1.5753236881
5.02,1.4910433648,1.5754817857
5.03,1.4912091376,1.5756399381
5.04,1.4913749657,1.5757981452
5.05,1.4915408491,1.5759564072
5.06,1.4917067879,1.5761147239
5.07,1.4918727821,1.5762730955
5.08,1.4920388317,1.5764315219
5.09,1.4922049368,1.5765900033
5.1,1.4923710973,1.5767485396
5.11,1.4925373134,1.5769071308
5.12,1.4927035851,1.5770657771
5.13,1.4928699123,1.5772244784
5.14,1.4930362951,1.5773832348
5.15,1.4932027336,1.5775420462
5.16,1.4933692277,1.5777009128
5.17,1.4935357776,1.5778598345
5.18,1.4937023832,1.5780188114
5.19,1.4938690445,1.5781778435
5.2,1.4940357617,1.5783369309
5.21,1.4942025347,1.5784960736
5.22,1.4943693635,1.5786552715
5.23,1.4945362482,1.5788145249
5.24,1.4947031889,1.5789738335
5.25,1.4948701855,1.5791331976
5.26,1.4950372381,1.5792926171
5.27,1.4952043467,1.5794520921
5.28,1.4953715114,1.5796116226
5.29,1.4955387321,1.5797712086
5.3,1.495706009,1.5799308502
5.31,1.495873342,1.5800905474
5.32,1.4960407312,1.5802503002
5.33,1.4962081765,1.5804101086
5.34,1.4963756782,1.5805699728
5.35,1.496543236,1.5807298926
5.36,1.4967108502,1.5808898682
5.37,1.4968785207,1.5810498996
5.38,1.4970462476,1.5812099868
5.39,1.4972140309,1.5813701299
5.4,1.4973818706,1.5815303288
5.41,1.4975497667,1.5816905837
5.42,1.4977177194,1.5818508944
5.43,1.4978857286,1.5820112612
5.44,1.4980537943,1.582171684
5.45,1.4982219166,1.5823321627
5.46,1.4983900955,1.5824926976
5.47,1.4985583311,1.5826532886
5.48,1.4987266233,1.5828139357
5.49,1.4988949723,1.5829746389
5.5,1.499063378,1.5831353984
5.51,1.4992318405,1.583296214
5.52,1.4994003598,1.583457086
5.53,1.4995689359,1.5836180142
5.54,1.4997375689,1.5837789988
5.55,1.4999062588,1.5839400397
5.56,1.5000750056,1.584101137
5.57,1.5002438094,1.5842622907
5.58,1.5004126702,1.5844235008
5.59,1.5005815881,1.5845847675
5.6,1.500750563,1.5847460907
5.61,1.500919595,1.5849074704
5.62,1.5010886841,1.5850689067
5.63,1.5012578304,1.5852303996
5.64,1.5014270338,1.5853919491
5.65,1.5015962945,1.5855535554
5.66,1.5017656125,1.5857152183
5.67,1.5019349877,1.585876938
5.68,1.5021044203,1.5860387145
5.69,1.5022739102,1.5862005477
5.7,1.5024434575,1.5863624379
5.71,1.5026130623,1.5865243848
5.72,1.5027827244,1.5866863887
5.73,1.5029524441,1.5868484495
5.74,1.5031222213,1.5870105673
5.75,1.503292056,1.5871727421
5.76,1.5034619483,1.587334974
5.77,1.5036318982,1.5874972629
5.78,1.5038019058,1.5876596089
5.79,1.503971971,1.587822012
5.8,1.504142094,1.5879844723
5.81,1.5043122747,1.5881469898
5.82,1.5044825132,1.5883095645
5.83,1.5046528094,1.5884721965
5.84,1.5048231636,1.5886348858
5.85,1.5049935756,1.5887976324
5.86,1.5051640455,1.5889604364
5.87,1.5053345733,1.5891232978
5.88,1.5055051591,1.5892862166
5.89,1.505675803,1.5894491928
5.9,1.5058465048,1.5896122266
5.91,1.5060172648,1.5897753179
5.92,1.5061880828,1.5899384667
5.93,1.506358959,1.5901016732
5.94,1.5065298934,1.5902649373
5.95,1.5067008859,1.590428259
5.96,1.5068719367,1.5905916384
5.97,1.5070430458,1.5907550755
5.98,1.5072142131,1.5909185705
5.99,1.5073854388,1.5910821232
6,1.5075567229,1.5912457337
6.01,1.5077280654,1.5914094021
6.02,1.5078994663,1.5915731283
6.03,1.5080709256,1.5917369125
6.04,1.5082424435,1.5919007547
6.05,1.5084140199,1.5920646548
6.06,1.5085856549,1.592228613
6.07,1.5087573485,1.5923926293
6.08,1.5089291007,1.5925567036
6.09,1.5091009116,1.592720836
6.1,1.5092727812,1.5928850267
6.11,1.5094447095,1.5930492755
6.12,1.5096166966,1.5932135825
6.13,1.5097887425,1.5933779478
6.14,1.5099608472,1.5935423714
6.15,1.5101330108,1.5937068533
6.16,1.5103052333,1.5938713936
6.17,1.5104775148,1.5940359922
6.18,1.5106498552,1.5942006493
6.19,1.5108222546,1.5943653649
6.2,1.510994713,1.594530139
6.21,1.5111672306,1.5946949715
6.22,1.5113398072,1.5948598627
6.23,1.511512443,1.5950248124
6.24,1.5116851379,1.5951898208
6.25,1.511857892,1.5953548879
6.26,1.5120307054,1.5955200136
6.27,1.5122035781,1.5956851981
6.28,1.51237651,1.5958504413
6.29,1.5125495014,1.5960157434
6.3,1.512722552,1.5961811043
6.31,1.5128956621,1.596346524
6.32,1.5130688317,1.5965120027
6.33,1.5132420607,1.5966775403
6.34,1.5134153492,1.5968431368
6.35,1.5135886973,1.5970087924
6.36,1.5137621049,1.597174507
6.37,1.5139355722,1.5973402807
6.38,1.5141090991,1.5975061135
6.39,1.5142826857,1.5976720054
6.4,1.514456332,1.5978379566
6.41,1.5146300381,1.5980039669
6.42,1.514803804,1.5981700365
6.43,1.5149776296,1.5983361653
6.44,1.5151515152,1.5985023535
6.45,1.5153254606,1.598668601
6.46,1.5154994659,1.5988349079
6.47,1.5156735312,1.5990012742
6.48,1.5158476565,1.5991677
6.49,1.5160218418,1.5993341853
6.5,1.5161960872,1.59950073
6.51,1.5163703926,1.5996673344
6.52,1.5165447582,1.5998339983
6.53,1.516719184,1.6000007219
6.54,1.5168936699,1.6001675051
6.55,1.5170682161,1.600334348
6.56,1.5172428226,1.6005012507
6.57,1.5174174893,1.6006682131
6.58,1.5175922164,1.6008352353
6.59,1.5177670039,1.6010023173
6.6,1.5179418518,1.6011694592
6.61,1.5181167601,1.6013366611
6.62,1.5182917289,1.6015039228
6.63,1.5184667582,1.6016712446
6.64,1.5186418481,1.6018386263
6.65,1.5188169985,1.6020060681
6.66,1.5189922096,1.60217357
6.67,1.5191674813,1.6023411319
6.68,1.5193428137,1.6025087541
6.69,1.5195182068,1.6026764364
6.7,1.5196936606,1.6028441789
6.71,1.5198691753,1.6030119817
6.72,1.5200447508,1.6031798448
6.73,1.5202203871,1.6033477682
6.74,1.5203960844,1.603515752
6.75,1.5205718425,1.6036837962
6.76,1.5207476617,1.6038519008
6.77,1.5209235418,1.6040200659
6.78,1.521099483,1.6041882914
6.79,1.5212754853,1.6043565775
6.8,1.5214515486,1.6045249242
6.81,1.5216276731,1.6046933315
6.82,1.5218038588,1.6048617995
6.83,1.5219801057,1.6050303281
6.84,1.5221564139,1.6051989174
6.85,1.5223327833,1.6053675675
6.86,1.5225092141,1.6055362784
6.87,1.5226857062,1.6057050501
6.88,1.5228622597,1.6058738826
6.89,1.5230388746,1.6060427761
6.9,1.523215551,1.6062117304
6.91,1.5233922889,1.6063807458
6.92,1.5235690883,1.6065498221
6.93,1.5237459493,1.6067189595
6.94,1.5239228719,1.606888158
6.95,1.5240998562,1.6070574175
6.96,1.5242769021,1.6072267383
6.97,1.5244540098,1.6073961201
6.98,1.5246311792,1.6075655633
6.99,1.5248084103,1.6077350676
7,1.5249857033,1.6079046333
7.01,1.5251630582,1.6080742602
7.02,1.5253404749,1.6082439486
7.03,1.5255179536,1.6084136983
7.04,1.5256954942,1.6085835095
7.05,1.5258730969,1.6087533821
7.06,1.5260507616,1.6089233163
7.07,1.5262284883,1.6090933119
7.08,1.5264062772,1.6092633692
7.09,1.5265841282,1.6094334881
7.1,1.5267620414,1.6096036686
7.11,1.5269400168,1.6097739108
7.12,1.5271180545,1.6099442148
7.13,1.5272961544,1.6101145805
7.14,1.5274743167,1.610285008
7.15,1.5276525413,1.6104554973
7.16,1.5278308284,1.6106260485
7.17,1.5280091779,1.6107966616
7.18,1.5281875898,1.6109673367
7.19,1.5283660643,1.6111380737
7.2,1.5285446013,1.6113088728
7.21,1.5287232009,1.6114797339
7.22,1.5289018631,1.6116506571
7.23,1.529080588,1.6118216424
7.24,1.5292593755,1.6119926898
7.25,1.5294382258,1.6121637995
7.26,1.5296171389,1.6123349714
7.27,1.5297961147,1.6125062056
7.28,1.5299751534,1.6126775021
7.29,1.530154255,1.612848861
7.3,1.5303334195,1.6130202822
7.31,1.5305126469,1.6131917659
7.32,1.5306919373,1.613363312
7.33,1.5308712907,1.6135349206
7.34,1.5310507072,1.6137065917
7.35,1.5312301868,1.6138783254
7.36,1.5314097296,1.6140501218
7.37,1.5315893355,1.6142219807
7.38,1.5317690046,1.6143939024
7.39,1.531948737,1.6145658867
7.4,1.5321285326,1.6147379338
7.41,1.5323083915,1.6149100438
7.42,1.5324883139,1.6150822165
7.43,1.5326682996,1.6152544521
7.44,1.5328483487,1.6154267506
7.45,1.5330284613,1.6155991121
7.46,1.5332086374,1.6157715365
7.47,1.5333888771,1.615944024
7.48,1.5335691803,1.6161165745
7.49,1.5337495472,1.6162891881
7.5,1.5339299777,1.6164618648
7.51,1.5341104719,1.6166346047
7.52,1.5342910298,1.6168074078
7.53,1.5344716515,1.6169802741
7.54,1.534652337,1.6171532037
7.55,1.5348330864,1.6173261967
7.56,1.5350138996,1.617499253
7.57,1.5351947768,1.6176723727
7.58,1.5353757179,1.6178455558
7.59,1.535556723,1.6180188024
7.6,1.5357377921,1.6181921125
7.61,1.5359189253,1.6183654861
7.62,1.5361001226,1.6185389234
7.63,1.536281384,1.6187124242
7.64,1.5364627097,1.6188859887
7.65,1.5366440995,1.6190596169
7.66,1.5368255536,1.6192333089
7.67,1.537007072,1.6194070646
7.68,1.5371886548,1.6195808841
7.69,1.5373703019,1.6197547675
7.7,1.5375520134,1.6199287147
7.71,1.5377337893,1.6201027259
7.72,1.5379156298,1.6202768011
7.73,1.5380975348,1.6204509402
7.74,1.5382795043,1.6206251434
7.75,1.5384615385,1.6207994107
7.76,1.5386436372,1.6209737421
7.77,1.5388258007,1.6211481376
7.78,1.5390080289,1.6213225974
7.79,1.5391903218,1.6214971214
7.8,1.5393726795,1.6216717096
7.81,1.5395551021,1.6218463622
